"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"11",55284,55232,55370,55504,55418,55289,55872,55436,55643,55546,55391,55205,55192,55574,55564,55561,55100,55739,55601,55713,55379,55350,55448,55645,55571,55432,55656,55217,55875,55217,55322,55703,55375,55731,55100,55420,55519,55706,55064,55539,55494,55641,55567,55132,55593,55893,55670,55356,55438,55533
"12",53090,52473,52763,53563,53285,52733,53514,52792,53333,53389,52983,52918,53249,53190,52670,52645,53561,53395,53096,52586,53242,52624,52949,52964,52947,53189,53579,53113,52396,53313,53792,53598,52605,52065,51759,53010,52920,53136,52708,53635,53390,53370,53111,53663,53251,53189,52709,53362,52498,53157
"13",49070,49809,49129,49215,49032,49435,49573,49380,49086,49085,49588,48991,48952,49035,49361,49411,49207,49516,49236,49027,49121,49724,49554,49282,49365,49341,49530,49395,49604,49321,49420,48773,49567,49208,49304,49208,49477,49425,49102,49253,49059,49451,49414,49105,49588,49473,49695,49474,48975,49199
"14",43305,43105,43669,43397,43295,43510,43442,43534,43463,43647,43594,43354,43434,43464,43231,43604,43348,43635,43312,43670,43500,43143,43472,43259,43377,43152,43513,43413,43267,43458,43260,43038,43223,43814,43472,43309,42953,43122,43266,42841,43454,43234,43473,43524,43479,43228,43216,43624,43515,43347
"15",36816,36918,36678,36745,36762,36758,36819,36500,36974,36975,36782,37094,37001,36951,36914,36933,36826,36644,36520,36670,36761,36962,36630,36810,36422,36498,36760,36838,36639,36752,36807,36522,36894,36508,36447,36773,36847,36870,37034,37104,36612,36751,36540,36622,36796,36912,36850,36829,36847,36408
"16",30496,30258,30178,30443,30385,30427,30455,30253,30318,30281,30342,30446,30331,30438,30292,30252,30375,30227,30426,30266,30423,30090,30298,30113,30104,30137,30538,30177,30482,30380,30264,30234,30215,30594,30105,30572,30238,30286,30440,30309,30368,30397,30421,30301,30628,30319,30267,30458,30215,30560
"17",24039,24377,24420,24419,24128,24381,24462,24356,24531,24445,24502,24433,24384,24387,24538,24194,24330,24527,24406,24498,24552,24339,24237,24482,24155,24344,24484,24562,24300,24152,24035,24453,24325,24481,24154,24458,24422,24695,24596,24462,24200,24303,24390,24605,24228,24409,24299,24263,24135,24574
"18",18957,19121,18866,18794,18934,18827,18969,18795,19073,18726,19128,18804,18905,18851,18866,19028,19144,18921,18876,18617,18873,18864,18818,19042,18923,19097,18886,18897,19005,19091,19030,18790,18655,18794,18908,18911,19115,18788,18752,18383,18932,19286,18501,19230,18946,18797,18833,18979,18771,19083
"19",14440,14272,14376,14352,14321,14407,14222,14330,14521,14381,14462,14450,14264,14375,14220,14285,14621,14413,14321,14423,14378,14197,14295,14194,14488,14482,14418,14293,14337,14462,14391,14504,14479,14129,14388,14493,14317,14642,14429,14541,14359,14403,14306,14376,14633,14231,14537,14237,14158,14333
"20",10123,10245,10163,10197,10123,10179,10196,10178,10132,10253,10051,10194,10015,10059,10246,10244,10151,10127,10217,10129,10124,10168,10245,10055,10162,10155,10227,10113,9989,10088,10261,10245,10151,9984,10270,10140,10285,10382,10089,10298,10158,10067,10178,10270,10144,10272,10065,10225,10158,10091
"21",7026,6992,6976,7029,7031,7110,7098,6968,7048,7185,7037,6891,7056,6959,6810,6969,7048,6688,6982,6868,7042,6958,7091,7111,6886,7114,7030,7019,7033,7008,6984,7070,7182,7049,7140,6974,7109,7125,7046,6869,7076,7001,7008,7034,7081,6974,7048,7105,7075,7119
"22",4352,4381,4292,4352,4422,4233,4389,4327,4450,4294,4339,4434,4235,4501,4263,4259,4385,4329,4290,4414,4481,4406,4388,4318,4449,4376,4524,4308,4291,4198,4308,4331,4304,4419,4481,4424,4391,4258,4352,4346,4460,4391,4440,4463,4402,4334,4384,4401,4358,4374
"23",2887,2739,2650,2786,2741,2775,2874,2792,2910,2732,2718,2761,2723,2810,2831,2808,2846,2824,2773,2802,2801,2828,2838,2802,2882,2779,2812,2756,2817,2749,2782,2812,2855,2811,2692,2685,2748,2751,2771,2842,2795,2660,2821,2776,2785,2767,2758,2799,2802,2791
"24",1601,1620,1611,1659,1600,1601,1584,1634,1568,1599,1579,1601,1627,1545,1659,1596,1591,1544,1595,1604,1620,1616,1575,1600,1546,1632,1651,1556,1641,1601,1610,1516,1556,1611,1596,1595,1663,1652,1590,1653,1667,1703,1654,1620,1620,1641,1649,1595,1604,1639
"25",946,1005,966,1015,974,984,916,921,914,989,986,1016,991,989,982,1004,987,971,996,969,938,991,980,984,970,922,960,1012,964,967,987,937,1000,997,995,984,992,950,970,1036,936,929,986,997,966,952,944,1002,957,950
"26",485,517,526,531,530,548,499,521,555,508,512,515,551,552,510,522,546,501,539,516,537,542,498,569,555,536,594,522,562,544,485,530,518,487,493,509,475,555,517,518,470,536,505,549,564,507,483,493,538,545
"27",337,336,297,315,311,288,321,308,314,296,318,299,326,313,298,307,302,276,344,326,287,310,339,297,322,308,342,338,296,314,287,318,303,317,313,266,296,279,294,310,318,299,309,341,305,269,304,302,300,296
