N_past	N_present	Generations	Stat	Seed
26425	6061	7652	0.362015972243715	46
36841	913	9434	0.357663421903872	52
8500	3166	8346	0.443961171327793	58
5155	4483	11823	0.474637487637371	63
12451	1529	2170	0.456802420015523	69
1296	6576	3201	0.496039568783588	66
12128	11795	6766	0.421170909505978	19
4608	4387	10981	0.469643668703254	65
10913	10551	12442	0.413317526134054	27
6184	8395	10527	0.453948809196028	61
1309	8956	12863	0.503886998537201	72
3106	8712	3453	0.472497279522749	60
1316	11514	12637	0.502460193127453	67
30595	2679	12618	0.357693474291766	62
13810	12613	2374	0.398372073539601	24
1706	5308	2118	0.49817977689821	79
28607	4482	5973	0.390613138443165	70
5264	6606	541	0.451808601081406	75
5779	9491	5251	0.456089017310649	64
20129	1532	12017	0.41257746099528	78
19020	4957	3126	0.407601671099712	77
6450	6854	7254	0.456089017310649	81
5417	13180	414	0.428985663352713	40
28174	10326	9965	0.326475034074904	20
1359	2669	8890	0.506740609356697	91
1710	2920	10908	0.502460193127453	87
2116	1482	8573	0.503173595832327	90
2717	8175	9206	0.482484917390984	80
18619	12347	6305	0.363487478104113	6
4324	2925	11732	0.48177151468611	88
18495	563	10891	0.414004266405028	86
3294	9339	110	0.444674574032667	71
23785	7778	1477	0.41048628155034	74
1347	9142	12970	0.49817977689821	89
35190	8441	6158	0.342115263796323	56
7500	1950	3641	0.460369433539893	94
4429	3082	2324	0.483911722800732	99
2084	9265	1392	0.477491098456867	85
1709	6879	10020	0.501033387717706	100
4716	8518	7256	0.463936447064262	92
30245	14234	11602	0.327170062591472	23
9721	13363	5934	0.408291771015805	53
2046	12111	4837	0.478204501161741	97
28879	7466	7355	0.377752910480913	93
16474	7756	12962	0.39192478975457	95
3915	14258	2601	0.441820963213171	76
3916	13624	5148	0.453948809196028	96
15388	14118	9716	0.375561222007653	68
3716	12484	4581	0.443961171327793	98
6222	12866	1153	0.422565212033302	83
14823	13720	485	0.39982565545219	84
1211	1400	5294	0.506027206651823	123
2427	1559	8657	0.491759152554345	114
2420	2550	5198	0.499606582307958	117
13741	2821	1287	0.45823523410721	118
2799	6944	7114	0.491045749849471	109
6668	2912	12388	0.460369433539893	120
27180	3035	1474	0.423332597662238	115
8512	3003	12548	0.453235406491154	101
1378	8799	5171	0.49461276337384	121
30407	2780	10193	0.385498150743299	119
1616	12253	11446	0.501746790422579	108
1724	9278	2206	0.48177151468611	102
21093	3271	12253	0.387602357642754	111
1118	13028	9387	0.504600401242075	113
1177	9397	7333	0.508167414766445	127
25453	5303	10279	0.366973724122533	105
5952	3062	12790	0.477491098456867	134
27600	3417	10505	0.352034163493419	125
6788	4173	9630	0.456089017310649	130
4569	6176	11671	0.481058111981236	132
6548	8996	3930	0.451095198376532	122
1304	6211	12873	0.501746790422579	137
17184	1517	3469	0.446101379442415	140
31985	3627	6650	0.356321718204573	128
2038	6807	9076	0.492472555259219	138
6169	7288	9996	0.464649849769136	133
31311	5882	10681	0.347805583204003	110
6727	551	10193	0.471070474113001	141
36936	6899	9345	0.330658735802902	103
8247	8714	5933	0.438256565424013	126
5889	10025	8058	0.455375614605775	112
1004	10456	7005	0.508167414766445	139
1298	3851	1803	0.495326166078714	149
9303	2318	12283	0.451808601081406	147
38939	1228	3380	0.391912637717691	153
34529	8269	2302	0.387032018885849	124
1633	9388	10044	0.499606582307958	146
8344	7969	5631	0.444674574032667	136
5214	6871	12283	0.467503460588632	144
36746	5933	1900	0.396975380372415	152
9526	3450	213	0.467503460588632	157
4421	9577	12613	0.473924084932497	148
1569	5214	2267	0.488905541734849	160
3195	11571	1139	0.456089017310649	131
1419	4586	12268	0.506027206651823	164
20646	9037	9388	0.369891014667199	116
2322	1410	5519	0.489618944439723	167
11793	9420	7576	0.414030925846194	135
8669	11752	3533	0.425443784047195	129
7352	6911	7596	0.457515822720397	163
8558	10235	6332	0.433973533459558	142
3663	3289	11030	0.48177151468611	172
8504	8137	11617	0.439683370833761	155
5132	873	7454	0.48533852821048	175
2112	13840	4882	0.480344709276362	154
1930	9089	5564	0.479631306571488	166
1217	13554	2660	0.486051930915354	162
1063	14431	11590	0.506027206651823	165
2562	9409	7219	0.483911722800732	169
6749	8300	2984	0.443247768622919	161
4277	10121	3176	0.45252200378628	159
8506	1670	4352	0.463223044359388	181
19373	6689	316	0.444677189767878	174
2762	3684	12112	0.49817977689821	184
5288	3579	11979	0.464649849769136	182
15610	7804	4935	0.406906243564188	168
3299	10062	10112	0.473217061368149	173
6032	13345	3217	0.440399425913262	156
1700	10149	8040	0.496039568783588	180
13726	13527	218	0.381265790976743	106
1114	11535	2906	0.493185957964092	176
8976	729	2592	0.467503460588632	195
27747	3054	10721	0.37056138840613	179
3528	6278	7121	0.476064293047119	186
20159	1102	1982	0.461802247631579	194
28250	12786	596	0.384234949309613	143
3646	7184	7718	0.46893026599838	187
3955	4561	6068	0.474637487637371	192
1315	11301	11613	0.506027206651823	190
7310	2076	275	0.478917903866614	197
1182	3132	9219	0.509594220176192	200
13520	12705	12360	0.392650215808788	151
34425	13091	9515	0.298812840081918	104
1031	4647	9569	0.509594220176192	206
4315	1374	7591	0.487478736325101	204
35440	7529	7574	0.327802694797662	177
17827	8472	12776	0.379089546756045	171
3553	5960	3599	0.471070474113001	199
1279	4952	48	0.473924084932497	201
7788	449	12551	0.470357071408127	209
1214	10701	1311	0.486051930915354	198
1750	3386	259	0.493185957964092	213
3022	1722	12325	0.493185957964092	218
20833	13439	2442	0.35643523724862	150
4125	10241	9451	0.473924084932497	210
5937	11187	1859	0.436827144279054	189
4955	10896	6971	0.458229225425271	205
2468	1495	3649	0.498893179603084	221
6726	5395	3889	0.44895499026191	214
34471	3611	3271	0.400491684764195	217
18215	13658	7625	0.388426514401339	170
1487	11237	17	0.423991904273262	183
13110	5170	522	0.453244030908304	219
15723	3573	3248	0.426860154177314	220
17648	3606	3980	0.419735528757241	222
24747	12111	11852	0.333611988657201	145
1263	2932	999	0.501033387717706	224
10949	10695	9269	0.415445710899331	196
6451	10069	11095	0.448241587557036	207
12451	14933	12147	0.392012904815753	158
16702	9708	5323	0.40478406748085	202
3397	6654	5095	0.477491098456867	223
7018	3456	6919	0.461082836244767	229
2814	3576	1046	0.491045749849471	232
13198	3669	9464	0.419720115453902	225
1175	13795	1293	0.476064293047119	215
7926	13304	9925	0.431123787884579	193
2794	11731	726	0.460369433539893	208
8017	11138	273	0.421872287063202	211
27617	12091	1972	0.359207055889403	185
13441	4600	12210	0.403309234513858	230
4304	14737	9169	0.461796238949641	212
18793	1441	9352	0.411150655585532	238
24155	975	12406	0.366937660059966	240
5410	416	11250	0.478917903866614	247
3587	7770	483	0.460369801005746	235
1588	7116	5869	0.502460193127453	245
4349	12260	8931	0.467503460588632	227
3438	7492	12505	0.468216863293506	242
3522	12998	11153	0.486051930915354	234
11956	7481	9519	0.427591591906204	236
5950	12865	7153	0.432547830447371	226
17525	343	8927	0.413284855018215	252
18368	12652	2878	0.378485881819772	188
16414	11827	11328	0.382051220607896	191
3214	1614	6907	0.493899360668967	257
3977	3840	8606	0.478204501161741	254
12370	9462	6827	0.411144646903593	233
5148	5799	7514	0.468216863293506	251
1224	9644	10339	0.501033387717706	255
7265	5787	11254	0.446814782147289	253
6056	6541	4876	0.476064293047119	256
1155	8288	5661	0.500319985012832	259
11122	1187	12109	0.442534365918045	258
23700	9666	9205	0.350677232040248	216
29665	10462	2864	0.355615995666345	228
3169	8062	6070	0.486051930915354	262
36792	7933	5517	0.347839034524091	243
2070	6728	4464	0.487478736325101	267
30492	7799	9368	0.342805752595213	246
5940	5398	8802	0.478917903866614	271
2171	14077	7368	0.48533852821048	260
12632	11323	4603	0.419732138803247	241
22685	5433	1031	0.428314396239745	270
3950	3055	9932	0.478204501161741	276
1701	5606	576	0.486051930915354	274
1157	13282	9753	0.502460193127453	269
1074	3863	5793	0.509594220176192	281
19749	7224	4083	0.40194515859331	265
1127	4258	1335	0.493899360668967	284
14464	2136	6871	0.429705074739526	283
4168	14002	7308	0.466082777030611	250
2713	12861	3618	0.463955217019986	249
2027	9537	3111	0.474647654297615	273
33015	14351	11607	0.285245004036695	178
6123	4820	912	0.461796238949641	286
7758	4773	1545	0.461796238949641	287
3127	9874	11667	0.486051930915354	280
35208	8174	8782	0.352121883931812	266
9893	10128	7099	0.418992076657206	264
21854	10890	10379	0.367725809617918	248
7387	5142	6380	0.453948809196028	290
8502	5876	7619	0.448241587557036	285
5810	1803	6506	0.466790057883758	293
9916	13586	12613	0.404076457599572	237
36909	5448	8479	0.307854078502359	272
28300	7516	533	0.42050659651988	278
16186	8063	4136	0.396207881573691	268
22898	4157	8934	0.378370132376499	289
1911	7317	2584	0.481058111981236	294
31389	4292	6409	0.373496537957625	288
1636	6461	11077	0.505313803946949	304
9048	5237	19	0.463936447064262	300
1307	13929	4825	0.497466374193336	296
1262	107	2565	0.505313803946949	309
1958	8542	8206	0.497466374193336	305
2133	9746	2336	0.487478736325101	298
7618	2917	3379	0.470357071408127	310
23993	4305	9223	0.36557096241874	295
23332	14435	10694	0.34360908271345	231
20576	3933	923	0.456101034674527	311
2060	1762	34	0.49817977689821	314
10488	4580	9001	0.43825995837074	307
4872	7920	2467	0.459656030835019	306
13130	800	5207	0.448241587557036	318
4344	12012	6414	0.463936447064262	301
32720	11850	8841	0.321600824138383	244
27739	13795	2820	0.354284104031522	277
4936	14943	2281	0.427552909115693	261
2757	1972	7302	0.489618944439723	321
6931	11249	12780	0.445387976737541	297
7610	1973	1580	0.476064293047119	325
4528	6268	198	0.46536325247401	315
15413	12436	12549	0.380630349148021	263
1468	4703	10460	0.504600401242075	326
16443	12433	7420	0.391328583091333	275
11320	11035	12702	0.420451553182793	291
3823	10828	166	0.431119922640063	299
1993	14506	4619	0.472503812918445	308
21768	4885	2226	0.418296699998149	331
35097	8132	7195	0.337894936911391	302
1924	13788	10254	0.493899360668967	319
1122	14535	2534	0.475353592140107	303
4535	11830	678	0.414007747212712	279
5489	10602	5008	0.451095198376532	317
2499	7977	7533	0.491759152554345	332
21310	4702	4364	0.411900119360239	329
7725	5362	12780	0.446814782147289	333
10989	9884	421	0.42898572320738	312
1495	4280	6449	0.501033387717706	338
4364	1515	6866	0.493899360668967	340
1022	11275	11894	0.507454012061571	336
3999	1626	11571	0.476064293047119	344
1701	11595	6957	0.49461276337384	335
11889	14104	6240	0.391238049483596	282
5162	9478	5696	0.442534365918045	320
8798	10775	12573	0.437546555665867	324
17125	187	12994	0.428266311820567	345
2197	1392	1253	0.501033387717706	354
3633	7097	11554	0.473924084932497	347
2102	12603	4683	0.486051930915354	337
26438	2236	824	0.453966835241844	352
4525	6480	9688	0.473210682227623	349
16958	11507	1950	0.384104082289523	292
1994	11431	12017	0.490332347144597	343
1681	14685	8326	0.495326166078714	339
14906	10911	1774	0.406884875448111	323
1407	7625	7583	0.497466374193336	359
16758	3672	5086	0.426857535449369	358
1559	8797	911	0.46536325247401	342
8008	14543	5548	0.40829920133235	313
8549	8564	1954	0.436827144279054	341
28938	2043	10033	0.387614377999365	361
10657	11324	6055	0.415500772451624	328
10970	7124	3307	0.432561364141633	356
1134	7999	11680	0.509594220176192	367
7874	9158	12227	0.431119922640063	346
17991	1471	12001	0.394046956859708	364
30235	8366	11666	0.327161737152382	334
2364	3818	5687	0.490332347144597	375
3139	6276	7944	0.482484917390984	371
2425	1507	12539	0.497466374193336	377
16912	7916	7928	0.389061768328207	362
1101	14202	173	0.426126471171799	316
23629	8678	4187	0.37060441437934	351
1288	10871	1571	0.471072038672193	366
1579	12474	10011	0.504600401242075	370
1120	8128	10049	0.507454012061571	379
3391	10803	10148	0.473210682227623	374
1231	2157	2937	0.501746790422579	382
29687	4668	11917	0.345613724699021	360
1132	13246	9702	0.510307622881066	373
1086	10658	9113	0.506027206651823	378
25028	12229	5458	0.352133145587386	322
25351	8769	495	0.424768033474603	368
33312	9297	12151	0.309353024008174	330
5062	697	10218	0.476064293047119	387
24074	12590	5784	0.35435150846548	327
3964	2615	50	0.48533852821048	393
8091	1422	6620	0.455375614605775	390
3917	414	1632	0.497466374193336	395
1558	5981	10153	0.496752971488462	397
29917	5017	7339	0.374871857023268	380
3105	3882	10568	0.48533852821048	400
1203	9867	7231	0.503886998537201	396
10754	5818	10175	0.428988341935324	384
19318	5596	4726	0.412617022196162	388
2507	5196	10197	0.490332347144597	403
9654	6858	7921	0.443262407707475	392
36941	3771	9136	0.359138314725531	394
24902	11548	2381	0.3649202921958	348
20688	1551	8350	0.389065161274935	402
6257	6473	10710	0.458942628130145	401
11913	10832	6127	0.399750788544705	376
1378	6148	42	0.466790057883758	404
6699	8016	1884	0.438253949688802	383
4716	6313	5140	0.466790057883758	406
11313	1645	10655	0.453948809196028	407
2218	4972	7850	0.49817977689821	411
2543	217	7534	0.492472555259219	416
1172	14514	9384	0.501746790422579	405
17415	3776	3609	0.432573384498244	415
3280	1785	1841	0.488192139029975	418
26589	12057	5220	0.321444805928464	350
1968	14045	814	0.456802420015523	357
4740	5294	12259	0.466790057883758	414
30861	6476	7847	0.352834339393448	398
4144	193	12632	0.478917903866614	422
9895	10351	6976	0.423275108621661	386
11765	9603	7468	0.417609902865241	389
12106	13867	9918	0.394055650109725	365
2556	870	5887	0.49817977689821	428
4681	2661	754	0.481058111981236	425
3286	8149	9938	0.481058111981236	423
2722	2151	2012	0.492472555259219	430
8942	1930	263	0.487478736325101	429
20996	8256	1951	0.407595662417774	409
1137	10702	209	0.438973301220948	399
18964	6663	12247	0.379113593454734	408
7072	1572	360	0.493185957964092	437
17752	12415	6972	0.362082318666833	363
1101	11743	3544	0.495326166078714	420
30324	12439	5139	0.348550372415495	385
1824	10985	4567	0.490332347144597	426
1579	1334	3916	0.506740609356697	440
5849	14606	360	0.423991844418595	381
1826	12251	10425	0.493899360668967	427
6146	14388	8227	0.43254672804981	391
4426	4740	3545	0.462509641654515	439
2150	8683	11245	0.501746790422579	438
11155	9209	11255	0.415439702217392	421
3792	7854	5077	0.476777695751993	434
2807	1859	3822	0.497466374193336	448
3119	298	6298	0.492472555259219	444
3856	6733	5858	0.469643668703254	442
16261	418	8406	0.43254672804981	443
2015	2949	5024	0.501746790422579	449
7920	12049	9332	0.439680755098549	424
7612	3824	5108	0.461082836244767	445
1159	2018	9548	0.507454012061571	451
9981	10867	1687	0.42327249288645	419
2081	7504	526	0.460369433539893	433
1923	12072	9020	0.496752971488462	441
4545	7928	7763	0.480344709276362	447
2882	10686	754	0.439680755098549	412
17086	14888	11741	0.366420138219077	369
8585	9997	832	0.441820963213171	432
20614	9608	6085	0.359204260590191	413
2393	8062	8657	0.493899360668967	453
2024	3403	10827	0.497466374193336	465
8882	1209	10577	0.45252200378628	462
27502	1930	2462	0.426132112387884	466
2117	7125	11727	0.493899360668967	463
3514	9881	9654	0.483198320095858	452
3053	11234	8475	0.486765333620227	454
1717	14345	229	0.436836525389929	410
1291	833	12943	0.503886998537201	474
1299	8013	854	0.48533852821048	458
2721	8263	8030	0.483198320095858	464
2658	4550	3310	0.488192139029975	469
1163	5257	1717	0.49817977689821	470
3451	903	4845	0.493185957964092	473
2999	11372	9706	0.475350890342245	460
2533	6108	324	0.461796238949641	467
4087	11703	2980	0.438253949688802	436
30941	12040	9400	0.315749607638817	417
36286	1067	10447	0.362639271654106	475
39275	5774	7638	0.356284703906035	468
6821	4579	5430	0.463223044359388	482
8227	6705	531	0.467503460588632	484
1886	7394	2334	0.480344709276362	486
31853	2778	5624	0.397596004192928	489
6263	8926	12533	0.455375614605775	476
1510	10907	11425	0.497466374193336	488
1673	11426	6282	0.501749851348443	485
12167	7152	5523	0.433982157876708	481
6209	5989	10731	0.462509641654515	491
28234	10917	4970	0.372749686925396	455
12465	2904	6953	0.438268585780624	495
18211	11506	8874	0.377000047774012	446
35416	11682	12021	0.312955922031109	431
14216	11422	7319	0.384841468845686	461
27733	7156	6166	0.36910190888781	490
6440	2611	4574	0.478204501161741	502
14740	6828	1580	0.427591588913471	496
1519	11283	6496	0.496752971488462	499
1876	5375	2498	0.49461276337384	503
2626	14365	10831	0.483198320095858	497
5906	9203	3221	0.453235406491154	498
4251	12751	3782	0.4496716417945	480
1490	1917	3166	0.49461276337384	511
9704	13481	3936	0.415425887119928	477
10553	9468	3132	0.416866504634407	501
1061	2064	8032	0.510307622881066	513
7041	12140	4091	0.431833325344936	483
1071	6645	4296	0.509594220176192	512
16307	7407	4984	0.409741819359667	506
5504	8606	10473	0.463223044359388	504
1733	12680	3647	0.48533852821048	505
34338	11552	9120	0.321546812862957	459
5909	9303	12299	0.450381795671658	507
37640	12990	6714	0.30949439034972	435
10078	10361	8273	0.407632034436601	494
9242	523	4293	0.464649849769136	519
15763	14502	5658	0.38198785802619	456
34961	12568	1496	0.357805381705773	478
2292	266	3509	0.49817977689821	524
1325	5855	11124	0.506740609356697	522
15955	14953	7176	0.368649428897106	457
39641	3284	729	0.446856848906327	526
3740	9519	2706	0.467503460588632	514
1833	14355	11930	0.502460193127453	515
12466	8317	9928	0.41190268122625	510
7363	9989	6433	0.449668392966784	508
10978	2369	10058	0.445390592472752	529
37392	1001	11221	0.314859259611437	520
25509	1676	10530	0.372645825949462	530
1678	6343	8994	0.503886998537201	535
37350	14075	872	0.365700582023105	471
19475	11813	11312	0.363493486786052	492
2710	818	5196	0.493899360668967	538
1443	12890	3267	0.48177151468611	521
20436	12646	7838	0.357762221441105	487
2163	9310	1218	0.464649849769136	532
5874	2517	2452	0.473210682227623	542
18895	14247	7518	0.374901921382096	500
4738	8316	5964	0.451095883885005	534
26020	14193	12849	0.317278611517992	472
29431	13156	7081	0.325879476921071	479
11620	4266	4022	0.444674574032667	544
4018	10393	3366	0.459656030835019	533
3748	7076	1896	0.469643668703254	541
2980	11287	12908	0.484625125505606	539
1052	6012	11619	0.508167414766445	546
30363	3117	2118	0.421174357516333	549
1080	1213	6510	0.501746790422579	552
1180	10580	4087	0.492472555259219	547
36626	10255	3726	0.354237283653975	523
2037	2501	7296	0.496039568783588	555
6679	2670	4694	0.469643668703254	554
1094	1617	7251	0.507454012061571	557
13429	13753	2731	0.397667949207248	509
27271	10282	12647	0.320858595634944	493
9579	10062	375	0.426845515092758	540
2205	13393	11516	0.488192139029975	545
12666	2901	8147	0.440406175167301	556
16510	761	9606	0.421132284771828	560
5688	6875	5886	0.464649849769136	553
8879	3030	7284	0.456089017310649	561
1687	7183	11225	0.503886998537201	567
30402	3036	4323	0.40046765003644	564
1323	319	647	0.508167414766445	570
1455	8109	10703	0.499606582307958	568
15508	9493	7260	0.38266257494782	536
27810	10273	12919	0.347094629195352	531
22100	7123	9170	0.37484180164264	550
1058	13566	10371	0.506740609356697	559
20160	12764	7022	0.372113692426428	516
6600	10103	10620	0.447528184852162	551
13763	2816	3935	0.451814609763345	581
3202	6070	6345	0.484625125505606	579
16683	2536	7442	0.418290631461543	578
17942	12278	7379	0.369171600287653	528
6886	4489	10805	0.457515822720397	580
32587	6018	3306	0.381268494523111	572
15084	10581	10121	0.392652828551266	562
1753	13011	8037	0.486051930915354	571
31876	12391	6775	0.335114778544667	518
7259	1807	9063	0.471783876817875	583
3073	13704	10472	0.478917903866614	575
8980	3848	986	0.458942628130145	584
3146	8273	1318	0.458942628130145	574
18853	7335	11979	0.378420844501821	566
1096	834	6340	0.509594220176192	590
15156	1847	12851	0.413998257723089	586
21059	14612	6169	0.346456684851007	525
1257	10829	2450	0.493899360668967	585
2125	14861	10931	0.489618944439723	582
1452	2416	5542	0.501033387717706	597
1558	9694	3760	0.49461276337384	589
13011	9799	10916	0.397658673827461	573
4232	10556	4449	0.453948809196028	577
16730	8856	6364	0.389137301371002	576
19956	14407	12817	0.355700162104489	517
1588	10280	2513	0.486765333620227	594
23067	1583	9533	0.399748172809494	598
14566	14885	2900	0.384837732547509	537
30049	5569	8541	0.368476226621329	593
7552	7647	5761	0.444674574032667	591
33763	12002	6573	0.331486360326548	548
36751	13960	10233	0.278105736834607	527
13552	5200	7558	0.412589481351891	599
6844	13055	3944	0.424714699419597	563
32047	5226	5713	0.359174381780831	600
1305	14179	2100	0.483198320095858	592
39026	5400	8358	0.315680857496744	595
38239	12737	7091	0.319506074916643	558
31878	12080	6151	0.322301468562206	565
4433	13923	10031	0.466799130484293	596
22403	14694	12222	0.337843054541062	543
14481	13713	5224	0.38055272418462	588
26809	11863	9322	0.346466157615126	587
9794	13854	764	0.384768013191175	569
